title,company_name,url,remote,first_seen_at,last_seen_at,lang,juniority_score,source,external_ids_0,external_ids_1,external_ids_2,external_ids_3,external_ids_4,external_ids_5,external_ids_6,external_ids_7,external_ids_8,external_ids_9,locations_0_name,locations_1_name,locations_2_name,locations_3_name,locations_4_name,locations_5_name,locations_6_name,locations_7_name,locations_8_name,locations_9_name,locations_10_name,locations_11_name,locations_12_name,locations_13_name,locations_14_name,locations_15_name,locations_16_name,locations_17_name,locations_18_name,locations_19_name,locations_0_region,locations_1_region,locations_2_region,locations_3_region,locations_4_region,locations_5_region,locations_6_region,locations_7_region,locations_8_region,locations_9_region,locations_10_region,locations_11_region,locations_12_region,locations_13_region,locations_14_region,locations_15_region,locations_16_region,locations_17_region,locations_18_region,locations_19_region,employment_types_0,employment_types_1,employment_types_2,employment_types_3,employment_types_4,employment_types_5,employment_types_6,employment_types_7,employment_types_8,employment_types_9
"Junior Aircraft Software Engineer – C/C++, Python",Honeywell,https://cz.linkedin.com/jobs/view/junior-aircraft-software-engineer-%E2%80%93-c-c%2B%2B-python-at-honeywell-3468397956,False,2023-02-07 00:00:00,,en,,,linkedin#3468397956,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"Junior Aircraft Software Engineer – C/C++, Python",Honeywell,https://cz.linkedin.com/jobs/view/junior-aircraft-software-engineer-%E2%80%93-c-c%2B%2B-python-at-honeywell-3472038618,False,2023-02-06 00:00:00,,en,,,linkedin#3472038618,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior QA Inženýr (plný/zkrácený úvazek),Veeam Software,https://cz.linkedin.com/jobs/view/junior-qa-in%C5%BEen%C3%BDr-pln%C3%BD-zkr%C3%A1cen%C3%BD-%C3%BAvazek-at-veeam-software-3471786981,False,2023-02-06 00:00:00,,cs,,,linkedin#3471786981,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
QA Engineer,We Grow Together | Safetica,https://cz.linkedin.com/jobs/view/qa-engineer-at-we-grow-together-safetica-3466693597,False,2023-02-03 00:00:00,,en,,,linkedin#3466693597,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior QA Engineer (Part time possible),Veeam Software,https://cz.linkedin.com/jobs/view/junior-qa-engineer-part-time-possible-at-veeam-software-3463649726,False,2023-02-01 00:00:00,,cs,,,linkedin#3463649726,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Front-End Web Developer (Angular),PwC Czech Republic,https://cz.linkedin.com/jobs/view/junior-front-end-web-developer-angular-at-pwc-%C4%8Desk%C3%A1-republika-3402555969,False,2023-01-31 00:00:00,,en,,,linkedin#3402555969,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
NET/C# vývojář / vývojářka - junior pozice,METEL,https://cz.linkedin.com/jobs/view/net-c%23-v%C3%BDvoj%C3%A1%C5%99-v%C3%BDvoj%C3%A1%C5%99ka-junior-pozice-at-metel-3459820577,False,2023-01-31 00:00:00,,cs,,,linkedin#3459820577,,,,,,,,,,Česká Skalice,,,,,,,,,,,,,,,,,,,,Hradec Králové,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Vývojář / vývojářka hardware - konstruktér / konstruktérka - junior pozice,METEL,https://cz.linkedin.com/jobs/view/v%C3%BDvoj%C3%A1%C5%99-v%C3%BDvoj%C3%A1%C5%99ka-hardware-konstrukt%C3%A9r-konstrukt%C3%A9rka-junior-pozice-at-metel-3459818765,False,2023-01-31 00:00:00,,cs,,,linkedin#3459818765,,,,,,,,,,Česká Skalice,,,,,,,,,,,,,,,,,,,,Hradec Králové,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Back-End Developer (C#),PwC Czech Republic,https://cz.linkedin.com/jobs/view/junior-back-end-developer-c%23-at-pwc-%C4%8Desk%C3%A1-republika-3401075007,False,2023-01-31 00:00:00,,en,,,linkedin#3401075007,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior IT Project Manager,LAMBDA-dev s.r.o.,https://www.startupjobs.cz/nabidka/46448/junior-it-project-manager?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-01-25 00:00:00,,cs,,,startupjobs#46448,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,INTERNSHIP,,,,,,,
